country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,,,,1730,6.42E-07,Electricity Imports
ID,,,,1730,36.8,Solar PV (Distributed with Storage)
ID,,,,1730,1.19,Off-grid Hydropower
ID,,,,1730,0.17,Gas Power Plant (SCGT)
ID,,,,1730,32.3,Coal Power Plant
ID,,,,1730,3.3,Gasoline Motorcycle
ID,,,,1730,5.08,Gasoline Car
ID,,,,1730,2.26,Gasoline Bus + Rail
ID,,,,1730,5.99,Industry Biomass Heating 
ID,,,,1730,0.5,Residential Electric Stove
ID,,,,1730,0.0164,Residential Oil Heating
ID,,,,1730,0.000555,Commercial Oil Heating
ID,,,,1730,16.3,Industry Coal Heating
ID,,,,1730,1.03,Biomass Power Plant
ID,,,,1730,0.0967,Light Fuel Oil Power Plant
ID,,,,1730,0.468,Residential LPG/Kerosene Stove
ID,,,,1730,1.31,Residential Biomass Stove
ID,,,,1730,3.29,Residential Biomass Heating
ID,,,,1730,0.4,Commercial Biomass Heating 
ID,,,,1730,0.531,Industry Natural Gas Heating
ID,,,,1730,56.2,Biomass Extraction
ID,,,,1730,106,Coal Extraction
ID,,,,1730,0.00385,Geothermal Potential
ID,,,,1730,0.000237,Hydro Potential
ID,,,,1730,36.4,Natural Gas Extraction
ID,,,,1730,117,Crude Oil Extraction
ID,,,,1730,0.000332,Solar Potential
ID,,,,1730,6.93E-05,Wind Potential
ID,,,,1730,1350,Light Fuel Oil Imports
ID,,,,1730,0,Coal Imports
ID,,,,1980,4.47,Electricity Distribution
ID,,,,1980,55.8,Geothermal Power Plant
ID,,,,1980,24.2,Gas Power Plant (CCGT)
ID,,,,1980,9.79,Electricity Transmission
ID,,,,1980,26.1,Solar PV (Utility)
ID,,,,1980,0,CSP with Storage
ID,,,,1980,24.1,Large Hydropower Plant (Dam) (>100MW)
ID,,,,1980,2.79,Medium Hydropower Plant (10-100MW)
ID,,,,1980,4.52,Small Hydropower Plant (<10MW)
ID,,,,1980,0.386,Onshore Wind
ID,,,,1980,19.7,Offshore Wind
ID,,,,1980,23.8,Utility-scale PV with 2 hour storage
ID,,,,1980,6.72E-07,Electricity Imports
ID,,,,1980,32,Solar PV (Distributed with Storage)
ID,,,,1980,0.663,Off-grid Hydropower
ID,,,,1980,0.17,Gas Power Plant (SCGT)
ID,,,,1980,41.8,Coal Power Plant
ID,,,,1980,3.3,Gasoline Motorcycle
ID,,,,1980,5.63,Gasoline Car
ID,,,,1980,2.26,Gasoline Bus + Rail
ID,,,,1980,5.99,Industry Biomass Heating 
ID,,,,1980,0.5,Residential Electric Stove
ID,,,,1980,0.0143,Residential Oil Heating
ID,,,,1980,0,Commercial Oil Heating
ID,,,,1980,16.6,Industry Coal Heating
ID,,,,1980,1.03,Biomass Power Plant
ID,,,,1980,0.0967,Light Fuel Oil Power Plant
ID,,,,1980,0.468,Residential LPG/Kerosene Stove
ID,,,,1980,1.33,Residential Biomass Stove
ID,,,,1980,3.29,Residential Biomass Heating
ID,,,,1980,0.4,Commercial Biomass Heating 
ID,,,,1980,0.161,Industry Natural Gas Heating
ID,,,,1980,59,Biomass Extraction
ID,,,,1980,119,Coal Extraction
ID,,,,1980,0.00385,Geothermal Potential
ID,,,,1980,0.000203,Hydro Potential
ID,,,,1980,24.2,Natural Gas Extraction
ID,,,,1980,114,Crude Oil Extraction
ID,,,,1980,0.000306,Solar Potential
ID,,,,1980,5.45E-05,Wind Potential
ID,,,,1980,1360,Light Fuel Oil Imports
ID,,,,1980,0,Coal Imports
ID,,,,2280,4.49,Electricity Distribution
ID,,,,2280,55.6,Geothermal Power Plant
ID,,,,2280,16.7,Gas Power Plant (CCGT)
ID,,,,2280,9.85,Electricity Transmission
ID,,,,2280,25.7,Solar PV (Utility)
ID,,,,2280,0,CSP with Storage
ID,,,,2280,24.1,Large Hydropower Plant (Dam) (>100MW)
ID,,,,2280,2.79,Medium Hydropower Plant (10-100MW)
ID,,,,2280,3.93,Small Hydropower Plant (<10MW)
ID,,,,2280,0.386,Onshore Wind
ID,,,,2280,13.4,Offshore Wind
ID,,,,2280,21.6,Utility-scale PV with 2 hour storage
ID,,,,2280,6.56E-07,Electricity Imports
ID,,,,2280,24,Solar PV (Distributed with Storage)
ID,,,,2280,0.479,Off-grid Hydropower
ID,,,,2280,0.17,Gas Power Plant (SCGT)
ID,,,,2280,46.6,Coal Power Plant
ID,,,,2280,3.3,Gasoline Motorcycle
ID,,,,2280,5.63,Gasoline Car
ID,,,,2280,2.26,Gasoline Bus + Rail
ID,,,,2280,5.99,Industry Biomass Heating 
ID,,,,2280,0.466,Residential Electric Stove
ID,,,,2280,0.0143,Residential Oil Heating
ID,,,,2280,0,Commercial Oil Heating
ID,,,,2280,16.7,Industry Coal Heating
ID,,,,2280,8.57,Biomass Power Plant
ID,,,,2280,0.0967,Light Fuel Oil Power Plant
ID,,,,2280,0.467,Residential LPG/Kerosene Stove
ID,,,,2280,1.34,Residential Biomass Stove
ID,,,,2280,3.29,Residential Biomass Heating
ID,,,,2280,0.4,Commercial Biomass Heating 
ID,,,,2280,0.0105,Industry Natural Gas Heating
ID,,,,2280,61.3,Biomass Extraction
ID,,,,2280,129,Coal Extraction
ID,,,,2280,0.00385,Geothermal Potential
ID,,,,2280,0.0002,Hydro Potential
ID,,,,2280,15.2,Natural Gas Extraction
ID,,,,2280,114,Crude Oil Extraction
ID,,,,2280,0.000276,Solar Potential
ID,,,,2280,3.82E-05,Wind Potential
ID,,,,2280,1360,Light Fuel Oil Imports
ID,,,,2280,0,Coal Imports
ID,,,,2570,4.67,Electricity Distribution
ID,,,,2570,55.6,Geothermal Power Plant
ID,,,,2570,12.5,Gas Power Plant (CCGT)
ID,,,,2570,10.2,Electricity Transmission
ID,,,,2570,25.5,Solar PV (Utility)
ID,,,,2570,0,CSP with Storage
ID,,,,2570,23.3,Large Hydropower Plant (Dam) (>100MW)
ID,,,,2570,1.39,Medium Hydropower Plant (10-100MW)
ID,,,,2570,2.44,Small Hydropower Plant (<10MW)
ID,,,,2570,0.386,Onshore Wind
ID,,,,2570,6.32,Offshore Wind
ID,,,,2570,20.7,Utility-scale PV with 2 hour storage
ID,,,,2570,6.37E-07,Electricity Imports
ID,,,,2570,14.2,Solar PV (Distributed with Storage)
ID,,,,2570,0.285,Off-grid Hydropower
ID,,,,2570,0.17,Gas Power Plant (SCGT)
ID,,,,2570,48.7,Coal Power Plant
ID,,,,2570,3.3,Gasoline Motorcycle
ID,,,,2570,5.63,Gasoline Car
ID,,,,2570,2.26,Gasoline Bus + Rail
ID,,,,2570,5.99,Industry Biomass Heating 
ID,,,,2570,0.461,Residential Electric Stove
ID,,,,2570,0.0143,Residential Oil Heating
ID,,,,2570,0,Commercial Oil Heating
ID,,,,2570,16.8,Industry Coal Heating
ID,,,,2570,20.1,Biomass Power Plant
ID,,,,2570,0.0967,Light Fuel Oil Power Plant
ID,,,,2570,0.467,Residential LPG/Kerosene Stove
ID,,,,2570,1.34,Residential Biomass Stove
ID,,,,2570,3.29,Residential Biomass Heating
ID,,,,2570,0.4,Commercial Biomass Heating 
ID,,,,2570,0,Industry Natural Gas Heating
ID,,,,2570,64,Biomass Extraction
ID,,,,2570,133,Coal Extraction
ID,,,,2570,0.00384,Geothermal Potential
ID,,,,2570,0.000181,Hydro Potential
ID,,,,2570,11.4,Natural Gas Extraction
ID,,,,2570,116,Crude Oil Extraction
ID,,,,2570,0.000241,Solar Potential
ID,,,,2570,1.69E-05,Wind Potential
ID,,,,2570,1360,Light Fuel Oil Imports
ID,,,,2570,0,Coal Imports
ID,,,,2880,4.96,Electricity Distribution
ID,,,,2880,55.6,Geothermal Power Plant
ID,,,,2880,3.5,Gas Power Plant (CCGT)
ID,,,,2880,10.8,Electricity Transmission
ID,,,,2880,25.7,Solar PV (Utility)
ID,,,,2880,0,CSP with Storage
ID,,,,2880,17.9,Large Hydropower Plant (Dam) (>100MW)
ID,,,,2880,1.32,Medium Hydropower Plant (10-100MW)
ID,,,,2880,0.029,Small Hydropower Plant (<10MW)
ID,,,,2880,0.386,Onshore Wind
ID,,,,2880,0,Offshore Wind
ID,,,,2880,20.6,Utility-scale PV with 2 hour storage
ID,,,,2880,6.50E-07,Electricity Imports
ID,,,,2880,0.0198,Solar PV (Distributed with Storage)
ID,,,,2880,0.0378,Off-grid Hydropower
ID,,,,2880,0.17,Gas Power Plant (SCGT)
ID,,,,2880,61.8,Coal Power Plant
ID,,,,2880,3.3,Gasoline Motorcycle
ID,,,,2880,5.63,Gasoline Car
ID,,,,2880,2.26,Gasoline Bus + Rail
ID,,,,2880,5.99,Industry Biomass Heating 
ID,,,,2880,0.442,Residential Electric Stove
ID,,,,2880,0.0143,Residential Oil Heating
ID,,,,2880,0,Commercial Oil Heating
ID,,,,2880,16.8,Industry Coal Heating
ID,,,,2880,17.7,Biomass Power Plant
ID,,,,2880,0.0967,Light Fuel Oil Power Plant
ID,,,,2880,0.467,Residential LPG/Kerosene Stove
ID,,,,2880,1.34,Residential Biomass Stove
ID,,,,2880,3.29,Residential Biomass Heating
ID,,,,2880,0.4,Commercial Biomass Heating 
ID,,,,2880,0,Industry Natural Gas Heating
ID,,,,2880,63.4,Biomass Extraction
ID,,,,2880,150,Coal Extraction
ID,,,,2880,0.00384,Geothermal Potential
ID,,,,2880,0.000143,Hydro Potential
ID,,,,2880,1.68,Natural Gas Extraction
ID,,,,2880,117,Crude Oil Extraction
ID,,,,2880,0.000194,Solar Potential
ID,,,,2880,8.36E-07,Wind Potential
ID,,,,2880,1360,Light Fuel Oil Imports
ID,,,,2880,0.499,Coal Imports
MM,,,,73.5,1.06,Electricity Distribution
MM,,,,73.5,6.54,Geothermal Power Plant
MM,,,,73.5,1.47,Gas Power Plant (CCGT)
MM,,,,73.5,2.12,Electricity Transmission
MM,,,,73.5,0.549,Solar PV (Utility)
MM,,,,73.5,0.0832,CSP with Storage
MM,,,,73.5,20,Large Hydropower Plant (Dam) (>100MW)
MM,,,,73.5,3.18,Medium Hydropower Plant (10-100MW)
MM,,,,73.5,0.0494,Small Hydropower Plant (<10MW)
MM,,,,73.5,0.275,Onshore Wind
MM,,,,73.5,0.431,Offshore Wind
MM,,,,73.5,0.507,Utility-scale PV with 2 hour storage
MM,,,,73.5,0.41,Onshore Wind power plant with storage
MM,,,,73.5,0.785,Solar PV (Distributed with Storage)
MM,,,,73.5,0.00951,Off-grid Hydropower
MM,,,,73.5,9.49E-07,Electricity Exports
MM,,,,73.5,0.0051,Gas Power Plant (SCGT)
MM,,,,73.5,0.117,Coal Power Plant
MM,,,,73.5,0.192,Gasoline Motorcycle
MM,,,,73.5,0.215,Gasoline Car
MM,,,,73.5,0.0884,Gasoline Bus + Rail
MM,,,,73.5,0.361,Industry Biomass Heating 
MM,,,,73.5,0.0217,Residential Electric Stove
MM,,,,73.5,0.976,Industry Coal Heating
MM,,,,73.5,0.0337,Residential LPG/Kerosene Stove
MM,,,,73.5,0.716,Residential Biomass Stove
MM,,,,73.5,0.688,Residential Biomass Heating
MM,,,,73.5,0.14,Commercial Biomass Heating 
MM,,,,73.5,0.0827,Industry Natural Gas Heating
MM,,,,73.5,17.5,Biomass Extraction
MM,,,,73.5,0.331,Coal Extraction
MM,,,,73.5,0.000433,Geothermal Potential
MM,,,,73.5,0.000205,Hydro Potential
MM,,,,73.5,2.25,Natural Gas Extraction
MM,,,,73.5,1.87,Crude Oil Extraction
MM,,,,73.5,6.48E-06,Solar Potential
MM,,,,73.5,1.93E-06,Wind Potential
MM,,,,73.5,2.58,Coal Imports
MM,,,,73.5,98,Light Fuel Oil Imports
MM,,,,98,0.997,Electricity Distribution
MM,,,,98,6.51,Geothermal Power Plant
MM,,,,98,1.5,Gas Power Plant (CCGT)
MM,,,,98,2,Electricity Transmission
MM,,,,98,0.553,Solar PV (Utility)
MM,,,,98,0,CSP with Storage
MM,,,,98,19.1,Large Hydropower Plant (Dam) (>100MW)
MM,,,,98,2.9,Medium Hydropower Plant (10-100MW)
MM,,,,98,0.0449,Small Hydropower Plant (<10MW)
MM,,,,98,0.0135,Onshore Wind
MM,,,,98,0.431,Offshore Wind
MM,,,,98,0.516,Utility-scale PV with 2 hour storage
MM,,,,98,0,Onshore Wind power plant with storage
MM,,,,98,0.784,Solar PV (Distributed with Storage)
MM,,,,98,0.0091,Off-grid Hydropower
MM,,,,98,9.47E-07,Electricity Exports
MM,,,,98,0.0051,Gas Power Plant (SCGT)
MM,,,,98,0.117,Coal Power Plant
MM,,,,98,0.192,Gasoline Motorcycle
MM,,,,98,0.23,Gasoline Car
MM,,,,98,0.108,Gasoline Bus + Rail
MM,,,,98,0.366,Industry Biomass Heating 
MM,,,,98,0.0217,Residential Electric Stove
MM,,,,98,0.976,Industry Coal Heating
MM,,,,98,0.024,Residential LPG/Kerosene Stove
MM,,,,98,0.728,Residential Biomass Stove
MM,,,,98,0.746,Residential Biomass Heating
MM,,,,98,0.142,Commercial Biomass Heating 
MM,,,,98,0.0764,Industry Natural Gas Heating
MM,,,,98,18.3,Biomass Extraction
MM,,,,98,0.331,Coal Extraction
MM,,,,98,0.000431,Geothermal Potential
MM,,,,98,0.000197,Hydro Potential
MM,,,,98,2.22,Natural Gas Extraction
MM,,,,98,1.87,Crude Oil Extraction
MM,,,,98,6.47E-06,Solar Potential
MM,,,,98,1.31E-06,Wind Potential
MM,,,,98,2.66,Coal Imports
MM,,,,98,92.6,Light Fuel Oil Imports
MM,,,,122,0.932,Electricity Distribution
MM,,,,122,6.44,Geothermal Power Plant
MM,,,,122,1.5,Gas Power Plant (CCGT)
MM,,,,122,1.86,Electricity Transmission
MM,,,,122,0.532,Solar PV (Utility)
MM,,,,122,0,CSP with Storage
MM,,,,122,18,Large Hydropower Plant (Dam) (>100MW)
MM,,,,122,2.53,Medium Hydropower Plant (10-100MW)
MM,,,,122,0.0449,Small Hydropower Plant (<10MW)
MM,,,,122,0.0135,Onshore Wind
MM,,,,122,0.431,Offshore Wind
MM,,,,122,0.518,Utility-scale PV with 2 hour storage
MM,,,,122,0,Onshore Wind power plant with storage
MM,,,,122,0.789,Solar PV (Distributed with Storage)
MM,,,,122,0.00923,Off-grid Hydropower
MM,,,,122,9.44E-07,Electricity Exports
MM,,,,122,0.0051,Gas Power Plant (SCGT)
MM,,,,122,0.117,Coal Power Plant
MM,,,,122,0.192,Gasoline Motorcycle
MM,,,,122,0.23,Gasoline Car
MM,,,,122,0.108,Gasoline Bus + Rail
MM,,,,122,0.4,Industry Biomass Heating 
MM,,,,122,0.0217,Residential Electric Stove
MM,,,,122,0.976,Industry Coal Heating
MM,,,,122,0.014,Residential LPG/Kerosene Stove
MM,,,,122,0.74,Residential Biomass Stove
MM,,,,122,0.776,Residential Biomass Heating
MM,,,,122,0.143,Commercial Biomass Heating 
MM,,,,122,0.0762,Industry Natural Gas Heating
MM,,,,122,19,Biomass Extraction
MM,,,,122,0.331,Coal Extraction
MM,,,,122,0.000426,Geothermal Potential
MM,,,,122,0.000187,Hydro Potential
MM,,,,122,2.23,Natural Gas Extraction
MM,,,,122,1.87,Crude Oil Extraction
MM,,,,122,6.38E-06,Solar Potential
MM,,,,122,1.31E-06,Wind Potential
MM,,,,122,2.71,Coal Imports
MM,,,,122,86.7,Light Fuel Oil Imports
MM,,,,147,0.846,Electricity Distribution
MM,,,,147,6.36,Geothermal Power Plant
MM,,,,147,1.5,Gas Power Plant (CCGT)
MM,,,,147,1.69,Electricity Transmission
MM,,,,147,0.417,Solar PV (Utility)
MM,,,,147,0,CSP with Storage
MM,,,,147,16.7,Large Hydropower Plant (Dam) (>100MW)
MM,,,,147,2.09,Medium Hydropower Plant (10-100MW)
MM,,,,147,0.0449,Small Hydropower Plant (<10MW)
MM,,,,147,0.0135,Onshore Wind
MM,,,,147,0.416,Offshore Wind
MM,,,,147,0.494,Utility-scale PV with 2 hour storage
MM,,,,147,0,Onshore Wind power plant with storage
MM,,,,147,0.835,Solar PV (Distributed with Storage)
MM,,,,147,0.0091,Off-grid Hydropower
MM,,,,147,9.19E-07,Electricity Exports
MM,,,,147,0.0051,Gas Power Plant (SCGT)
MM,,,,147,0.117,Coal Power Plant
MM,,,,147,0.192,Gasoline Motorcycle
MM,,,,147,0.233,Gasoline Car
MM,,,,147,0.108,Gasoline Bus + Rail
MM,,,,147,0.423,Industry Biomass Heating 
MM,,,,147,0.0217,Residential Electric Stove
MM,,,,147,0.976,Industry Coal Heating
MM,,,,147,0.00599,Residential LPG/Kerosene Stove
MM,,,,147,0.746,Residential Biomass Stove
MM,,,,147,0.808,Residential Biomass Heating
MM,,,,147,0.163,Commercial Biomass Heating 
MM,,,,147,0.074,Industry Natural Gas Heating
MM,,,,147,19.7,Biomass Extraction
MM,,,,147,0.331,Coal Extraction
MM,,,,147,0.000421,Geothermal Potential
MM,,,,147,0.000174,Hydro Potential
MM,,,,147,2.25,Natural Gas Extraction
MM,,,,147,1.87,Crude Oil Extraction
MM,,,,147,5.78E-06,Solar Potential
MM,,,,147,1.26E-06,Wind Potential
MM,,,,147,2.77,Coal Imports
MM,,,,147,81.9,Light Fuel Oil Imports
MM,,,,171,0.73,Electricity Distribution
MM,,,,171,6.34,Geothermal Power Plant
MM,,,,171,1.58,Gas Power Plant (CCGT)
MM,,,,171,1.46,Electricity Transmission
MM,,,,171,0.403,Solar PV (Utility)
MM,,,,171,0,CSP with Storage
MM,,,,171,14.8,Large Hydropower Plant (Dam) (>100MW)
MM,,,,171,1.44,Medium Hydropower Plant (10-100MW)
MM,,,,171,0.012,Small Hydropower Plant (<10MW)
MM,,,,171,0.0151,Onshore Wind
MM,,,,171,0.17,Offshore Wind
MM,,,,171,0.324,Utility-scale PV with 2 hour storage
MM,,,,171,0,Onshore Wind power plant with storage
MM,,,,171,0.201,Solar PV (Distributed with Storage)
MM,,,,171,0.00603,Off-grid Hydropower
MM,,,,171,9.08E-07,Electricity Exports
MM,,,,171,0.0051,Gas Power Plant (SCGT)
MM,,,,171,0.117,Coal Power Plant
MM,,,,171,0.192,Gasoline Motorcycle
MM,,,,171,0.259,Gasoline Car
MM,,,,171,0.108,Gasoline Bus + Rail
MM,,,,171,0.45,Industry Biomass Heating 
MM,,,,171,0.0217,Residential Electric Stove
MM,,,,171,0.976,Industry Coal Heating
MM,,,,171,0.00291,Residential LPG/Kerosene Stove
MM,,,,171,0.747,Residential Biomass Stove
MM,,,,171,0.891,Residential Biomass Heating
MM,,,,171,0.171,Commercial Biomass Heating 
MM,,,,171,0.00834,Industry Natural Gas Heating
MM,,,,171,20.3,Biomass Extraction
MM,,,,171,0.331,Coal Extraction
MM,,,,171,0.000419,Geothermal Potential
MM,,,,171,0.000155,Hydro Potential
MM,,,,171,1.68,Natural Gas Extraction
MM,,,,171,1.87,Crude Oil Extraction
MM,,,,171,3.68E-06,Solar Potential
MM,,,,171,4.70E-07,Wind Potential
MM,,,,171,2.9,Coal Imports
MM,,,,171,81,Light Fuel Oil Imports
MM,,,,195,0.566,Electricity Distribution
MM,,,,195,6.24,Geothermal Power Plant
MM,,,,195,1.6,Gas Power Plant (CCGT)
MM,,,,195,1.13,Electricity Transmission
MM,,,,195,0.371,Solar PV (Utility)
MM,,,,195,0,CSP with Storage
MM,,,,195,12.3,Large Hydropower Plant (Dam) (>100MW)
MM,,,,195,0.488,Medium Hydropower Plant (10-100MW)
MM,,,,195,0.00348,Small Hydropower Plant (<10MW)
MM,,,,195,0.0138,Onshore Wind
MM,,,,195,0.0445,Offshore Wind
MM,,,,195,0.276,Utility-scale PV with 2 hour storage
MM,,,,195,0,Onshore Wind power plant with storage
MM,,,,195,0.0194,Solar PV (Distributed with Storage)
MM,,,,195,0.00503,Off-grid Hydropower
MM,,,,195,8.98E-07,Electricity Exports
MM,,,,195,0.0188,Gas Power Plant (SCGT)
MM,,,,195,0.14,Coal Power Plant
MM,,,,195,0.192,Gasoline Motorcycle
MM,,,,195,0.276,Gasoline Car
MM,,,,195,0.108,Gasoline Bus + Rail
MM,,,,195,0.489,Industry Biomass Heating 
MM,,,,195,0.0217,Residential Electric Stove
MM,,,,195,0.995,Industry Coal Heating
MM,,,,195,0.00269,Residential LPG/Kerosene Stove
MM,,,,195,0.749,Residential Biomass Stove
MM,,,,195,0.934,Residential Biomass Heating
MM,,,,195,0.191,Commercial Biomass Heating 
MM,,,,195,0,Industry Natural Gas Heating
MM,,,,195,20.7,Biomass Extraction
MM,,,,195,0.331,Coal Extraction
MM,,,,195,0.000413,Geothermal Potential
MM,,,,195,0.000129,Hydro Potential
MM,,,,195,1.65,Natural Gas Extraction
MM,,,,195,1.81,Crude Oil Extraction
MM,,,,195,3.05E-06,Solar Potential
MM,,,,195,6.64E-08,Wind Potential
MM,,,,195,3.04,Coal Imports
MM,,,,195,81.3,Light Fuel Oil Imports
MM,,,,220,0.395,Electricity Distribution
MM,,,,220,6.08,Geothermal Power Plant
MM,,,,220,1.61,Gas Power Plant (CCGT)
MM,,,,220,0.79,Electricity Transmission
MM,,,,220,0.433,Solar PV (Utility)
MM,,,,220,0,CSP with Storage
MM,,,,220,8.75,Large Hydropower Plant (Dam) (>100MW)
MM,,,,220,0.329,Medium Hydropower Plant (10-100MW)
MM,,,,220,0,Small Hydropower Plant (<10MW)
MM,,,,220,0.0135,Onshore Wind
MM,,,,220,0,Offshore Wind
MM,,,,220,0.33,Utility-scale PV with 2 hour storage
MM,,,,220,0,Onshore Wind power plant with storage
MM,,,,220,0.0194,Solar PV (Distributed with Storage)
MM,,,,220,0.00464,Off-grid Hydropower
MM,,,,220,9.19E-07,Electricity Exports
MM,,,,220,0.0051,Gas Power Plant (SCGT)
MM,,,,220,0.304,Coal Power Plant
MM,,,,220,0.192,Gasoline Motorcycle
MM,,,,220,0.279,Gasoline Car
MM,,,,220,0.108,Gasoline Bus + Rail
MM,,,,220,0.504,Industry Biomass Heating 
MM,,,,220,0.0217,Residential Electric Stove
MM,,,,220,1.16,Industry Coal Heating
MM,,,,220,0.00269,Residential LPG/Kerosene Stove
MM,,,,220,0.751,Residential Biomass Stove
MM,,,,220,0.955,Residential Biomass Heating
MM,,,,220,0.196,Commercial Biomass Heating 
MM,,,,220,0,Industry Natural Gas Heating
MM,,,,220,21,Biomass Extraction
MM,,,,220,0.331,Coal Extraction
MM,,,,220,0.000402,Geothermal Potential
MM,,,,220,0.000102,Hydro Potential
MM,,,,220,1.65,Natural Gas Extraction
MM,,,,220,1.79,Crude Oil Extraction
MM,,,,220,3.42E-06,Solar Potential
MM,,,,220,2.56E-08,Wind Potential
MM,,,,220,3.78,Coal Imports
MM,,,,220,81.4,Light Fuel Oil Imports
MM,,,,245,0.191,Electricity Distribution
MM,,,,245,5.77,Geothermal Power Plant
MM,,,,245,1.79,Gas Power Plant (CCGT)
MM,,,,245,0.383,Electricity Transmission
MM,,,,245,0.376,Solar PV (Utility)
MM,,,,245,0,CSP with Storage
MM,,,,245,3.93,Large Hydropower Plant (Dam) (>100MW)
MM,,,,245,0.329,Medium Hydropower Plant (10-100MW)
MM,,,,245,0,Small Hydropower Plant (<10MW)
MM,,,,245,0.0153,Onshore Wind
MM,,,,245,0,Offshore Wind
MM,,,,245,0.234,Utility-scale PV with 2 hour storage
MM,,,,245,0,Onshore Wind power plant with storage
MM,,,,245,0.0194,Solar PV (Distributed with Storage)
MM,,,,245,0.00464,Off-grid Hydropower
MM,,,,245,8.35E-07,Electricity Exports
MM,,,,245,0.0051,Gas Power Plant (SCGT)
MM,,,,245,0.498,Coal Power Plant
MM,,,,245,0.192,Gasoline Motorcycle
MM,,,,245,0.294,Gasoline Car
MM,,,,245,0.108,Gasoline Bus + Rail
MM,,,,245,0.504,Industry Biomass Heating 
MM,,,,245,0.016,Residential Electric Stove
MM,,,,245,1.41,Industry Coal Heating
MM,,,,245,0.0027,Residential LPG/Kerosene Stove
MM,,,,245,0.759,Residential Biomass Stove
MM,,,,245,0.955,Residential Biomass Heating
MM,,,,245,0.196,Commercial Biomass Heating 
MM,,,,245,0,Industry Natural Gas Heating
MM,,,,245,21.4,Biomass Extraction
MM,,,,245,0.331,Coal Extraction
MM,,,,245,0.000382,Geothermal Potential
MM,,,,245,6.71E-05,Hydro Potential
MM,,,,245,1.91,Natural Gas Extraction
MM,,,,245,1.79,Crude Oil Extraction
MM,,,,245,3.05E-06,Solar Potential
MM,,,,245,2.56E-08,Wind Potential
MM,,,,245,5.01,Coal Imports
MM,,,,245,81.6,Light Fuel Oil Imports
PH,,,,64.4,1.56,Electricity Distribution
PH,,,,64.4,8.17,Geothermal Power Plant
PH,,,,64.4,5.93,Gas Power Plant (CCGT)
PH,,,,64.4,3.31,Electricity Transmission
PH,,,,64.4,12.6,Solar PV (Utility)
PH,,,,64.4,82.8,CSP with Storage
PH,,,,64.4,7.83,Large Hydropower Plant (Dam) (>100MW)
PH,,,,64.4,0.419,Medium Hydropower Plant (10-100MW)
PH,,,,64.4,1.86,Small Hydropower Plant (<10MW)
PH,,,,64.4,14,Onshore Wind
PH,,,,64.4,10.6,Offshore Wind
PH,,,,64.4,9.58,Utility-scale PV with 2 hour storage
PH,,,,64.4,23.2,Onshore Wind power plant with storage
PH,,,,64.4,14.8,Solar PV (Distributed with Storage)
PH,,,,64.4,0.195,Off-grid Hydropower
PH,,,,64.4,0.024,Gas Power Plant (SCGT)
PH,,,,64.4,4.98,Coal Power Plant
PH,,,,64.4,0.000325,Electric Car
PH,,,,64.4,0.938,Gasoline Motorcycle
PH,,,,64.4,0.683,Gasoline Car
PH,,,,64.4,0.208,Gasoline Bus + Rail
PH,,,,64.4,0.634,Industry Biomass Heating 
PH,,,,64.4,0.0623,Residential Electric Stove
PH,,,,64.4,0.0258,Residential Oil Heating
PH,,,,64.4,0.00339,Commercial Oil Heating
PH,,,,64.4,1.48,Industry Coal Heating
PH,,,,64.4,0.113,Biomass Power Plant
PH,,,,64.4,0.351,Light Fuel Oil Power Plant
PH,,,,64.4,0.0915,Residential LPG/Kerosene Stove
PH,,,,64.4,0.175,Residential Biomass Stove
PH,,,,64.4,0.467,Residential Biomass Heating
PH,,,,64.4,0.634,Commercial Biomass Heating 
PH,,,,64.4,0.449,Industry Natural Gas Heating
PH,,,,64.4,47.7,Backstop for TRACMCY
PH,,,,64.4,352,Backstop for TRACAR
PH,,,,64.4,8.16,Biomass Extraction
PH,,,,64.4,20.4,Coal Extraction
PH,,,,64.4,0.000742,Geothermal Potential
PH,,,,64.4,6.49E-05,Hydro Potential
PH,,,,64.4,9.92,Natural Gas Extraction
PH,,,,64.4,1.47,Crude Oil Extraction
PH,,,,64.4,0.000178,Solar Potential
PH,,,,64.4,0.000121,Wind Potential
PH,,,,64.4,375,Light Fuel Oil Imports
PH,,,,64.4,0,Coal Imports
PH,,,,64.4,0,Oil Fired Gas Turbine (SCGT)
PH,,,,129,1.26,Electricity Distribution
PH,,,,129,8.17,Geothermal Power Plant
PH,,,,129,8.69,Gas Power Plant (CCGT)
PH,,,,129,2.67,Electricity Transmission
PH,,,,129,12.1,Solar PV (Utility)
PH,,,,129,33.6,CSP with Storage
PH,,,,129,7.94,Large Hydropower Plant (Dam) (>100MW)
PH,,,,129,0.419,Medium Hydropower Plant (10-100MW)
PH,,,,129,1.7,Small Hydropower Plant (<10MW)
PH,,,,129,11.6,Onshore Wind
PH,,,,129,8.8,Offshore Wind
PH,,,,129,8.68,Utility-scale PV with 2 hour storage
PH,,,,129,17.4,Onshore Wind power plant with storage
PH,,,,129,12.5,Solar PV (Distributed with Storage)
PH,,,,129,0.195,Off-grid Hydropower
PH,,,,129,0.024,Gas Power Plant (SCGT)
PH,,,,129,4.98,Coal Power Plant
PH,,,,129,0,Electric Car
PH,,,,129,0.938,Gasoline Motorcycle
PH,,,,129,0.849,Gasoline Car
